机构名称	累计借款金额（万元）	累计借款笔数（笔）	累计借款人数量（人）	累计出借人数量（人）	项目逾期率	金额逾期率
首金网	1,168,874	838,612	569,870	23,821	0.00%	0.00%
工场微金	2,231,392	148,806	113,097	305,554	0.26%	0.48%
向上金服	1,569,202	1,046,751	682,926	559,144	0.00%	0.00%
爱钱进	8,700,582	3,598,748	2,386,855	2,063,415	5.24%	5.57%
银湖网	814,602	35,548	32,971	187,839	0.00%	0.00%
京金所	206,756	10,533	7,586	13,341	100.00%	72.24%
向前金服	3,479,812	455,464	418,093	203,363	0.00%	0.00%
爱投资	4,214,063	24,406	10,188	264,957	91.31%	82.74%
先智创科	3,864,523	54,046	23,763	61,932	0.00%	0.00%
懒投资	3,493,631	447,524	5,134,935	122,351	0.00%	0.00%
邦帮堂	642,469	21,908	8,500	111,972	7.37%	15.12%
宜人贷	11,850,473	1,774,299	1,527,173	1,663,920	0.00%	0.00%
诺远科技	1,192,414	435,101	422,513	101,999	25.51%	26.34%
链链金融	227,581	45,829	42,895	9,796	0.13%	0.02%
人人贷	8,613,210	1,264,417	1,173,997	1,053,788	0.00%	0.00%
网信普惠	16,519,066	5,564,878	1,964,215	3,752,207	0.00%	0.00%
积木盒子	5,785,406	19,248,393	4,047,467	421,013	1.97%	0.26%
宜信惠民	24,471,142	5,505,690	3,611,728	1,280,935	0.00%	0.00%
富润尚美	90,624	4,230	484	13,851	10.01%	16.49%
易宝金融	1,405,462	5,005	900	12,823	0.00%	0.00%
小油菜	234,707	2,645	313	18,374	0.00%	0.00%
北京大刚	958,966	369,678	11,033	28,629	0.52%	0.08%
邦融汇	559,464	17,974	10,920	32,762	30.85%	47.49%
抱财网	897,989	13,669	4,570	165,822	76.77%	69.63%
安润金融	169,973	6,841	9,567	13,658	34.83%	12.74%
玖富普惠	36,182,416	35,468,472	10,723,443	3,057,327	0.00%	0.00%
金信网	2,612,698	520,690	245,927	363,670	8.58%	9.94%
搜易贷	3,034,287	197,736	163,445	305,982	2.09%	2.13%
信用宝	649,729	103,834	99,759	78,633	67.69%	34.30%
海金仓	791,759	11,669	4,925	4,307	7.73%	10.69%
道口贷	1,195,179	23,844	8,197	35,162	0.98%	0.89%
小存折	70,834	13,751	64,351	1,715	0.00%	0.00%
微金客	18,642	413	97	19,447	0.00%	0.00%
易通贷	3,044,359	37,954	8,389	273,840	163.24%	153.65%
有利网	6,824,220	8,338,528	4,774,082	960,880	0.00%	0.00%
翼龙贷	5,826,414	848,653	295,550	482,499	0.00%	0.00%
沙小僧	105,341	22,912	20,452	40,206	4.35%	44.60%
希望金融	1,046,744	88,045	33,969	67,735	0.00%	0.00%
陆金服	34,793,515	9,458,820	2,665,703	924,498	3.60%	0.21%
你我贷	7,768,139	10,554,738	6,240,281	1,042,754	13.36%	1.76%
信而富	4,840,843	42,112,578	4,540,634	60,633	0.37%	4.02%
点荣金融	5,719,023	6,009,663	3,673,373	908,435	40.12%	13.88%
新新贷	1,571,687	84,889	48,647	145,482	0.00%	0.00%
今日捷财	334,420	8,767	4,032	39,382	0.00%	0.00%
爱投金融	468,681	23,706	10,301	46,519	9.81%	3.39%
麻袋财富	4,341,531	5,393,932	1,360,233	453,492	12.32%	3.06%
证大爱特	2,905,662	413,009	384,851	334,912	0.00%	0.00%
利典金融	32,166	1,021	302	2,302	8.33%	3.81%
新居金融	112,780	1,545	722	10,774	0.00%	0.00%
翼勋	1,504,593	141,238	141,139	33,337	9.87%	9.17%
拍拍贷	17,202,621	58,973,619	16,145,186	707,885	6.41%	5.01%
米缸金融	459,895	2,980	2,697	34,974	11.54%	75.59%
旺财谷	510,297	8,102	7,540	10,240	0.00%	0.00%
互融宝	911,420	8,119	2,595	78,596	0.00%	0.00%
开鑫贷	67,179	10,145	8,509	8,463	0.00%	0.00%
微贷网	27,182,033	7,206,005	2,538,467	1,115,907	0.00%	0.00%
嘉实金服	623,243	163,805	5,153	24,527	0.61%	1.72%
铜板街	27,738,630	23,567,870	5,357,328	3,926,399	0.00%	0.00%
创客金融	1,380,858	52,224	36,937	150,402	0.00%	0.03%
51人品	7,590,175	14,936,696	6,688,915	2,081,096	0.00%	0.00%
财米	8,377,659	22,160,984	10,251,587	1,345,177	0.00%	0.00%
铜米金服	1,865,066	740,117	598,553	251,169	0.00%	0.00%
小鸡理财	309,839	285,932	280,142	39,107	0.00%	0.00%
东方信服	11,260	3,281	3,281	1,198	0.00%	0.00%
德众金融	336,968	5,893	4,665	12,126	62.82%	77.81%
新安左右贷	181,495	2,915	2,155	5,509	9.91%	4.55%
博金贷	2,483,278	156,591	42,243	73,911	0.00%	0.00%
海融易	2,420,737	589,892	572,751	201,365	0.05%	0.02%
钱吧金融	418,783	70,177	35,491	73,420	0.00%	0.00%
中融宝	525,540	3,976	1,578	31,542	0.00%	0.00%
汇泉贷	513,078	2,632	10,848	7,264	0.00%	0.00%
宜联贷	368,776	17,761	17,077	245,121	0.64%	0.60%
雪松普惠	295,383	4,565	2,532	4,294	0.00%	0.00%
广州e贷	340,543	17,214	10,791	17,682	0.36%	0.01%
派派猪网贷	87,430	2,631	306	6,567	0.00%	0.00%
民贷天下	3,555,378	482,689	475,026	371,237	0.00%	0.00%
PPmoney 网贷	8,636,722	11,750,440	5,855,049	1,315,312	0.00%	0.00%
投哪网	6,040,036	891,625	422,276	469,516	0.00%	0.00%
前海理想金融	1,472,601	49,492	13,235	331,926	43.24%	38.51%
杉易贷	246,920	4,953	2,947	15,180	0.00%	0.00%
钱牛牛	3,793,152	16,741,108	4,021,320	289,389	0.00%	0.00%
小牛在线	11,584,424	1,334,427	1,167,066	859,105	0.00%	0.00%
淘淘金	783,200	18,400	1,595	127,756	0.00%	0.00%
e兴金融	148,261	8,170	4,834	17,846	0.00%	0.00%
阿拉丁金服	170,283	4,249	1,492	5,491	0.00%	0.00%
布谷农场	1,007,960	103,978	72,922	124,864	0.00%	0.00%
友金服	2,125,111	112,103	105,529	403,831	3.27%	0.29%
聚宝普惠	73,093	27,389	21,668	16,470	4.89%	91.54%
闲钱宝	173,614	6,014	6,027	1,836	0.00%	0.00%
金宝保	748,365	2,741	0	0	0.00%	0.00%
金开贷	401,403	3,110	1,128	6,574	0.00%	0.00%
西安方元	172,659	3,037	2,509	18,303	0.00%	0.00%
西安北创	25,895	343	135	1,087	9.43%	6.87%
